name,extensions,prismIndicator,founder,year
XML,.xml|.adml|.admx|.ant|.axml|.builds|.ccproj|.ccxml|.clixml|.cproject|.cscfg|.csdef|.csl|.csproj|.ct|.depproj|.dita|.ditamap|.ditaval|.dll.config|.dotsettings|.filters|.fsproj|.fxml|.glade|.gml|.gmx|.grxml|.iml|.ivy|.jelly|.jsproj|.kml|.launch|.mdpolicy|.mjml|.mm|.mod|.mxml|.natvis|.ncl|.ndproj|.nproj|.nuspec|.odd|.osm|.pkgproj|.pluginspec|.proj|.props|.ps1xml|.psc1|.pt|.rdf|.resx|.rss|.sch|.scxml|.sfproj|.shproj|.srdf|.storyboard|.sublime-snippet|.targets|.tml|.ts|.tsx|.ui|.urdf|.ux|.vbproj|.vcxproj|.vsixmanifest|.vssettings|.vstemplate|.vxml|.wixproj|.workflow|.wsdl|.wsf|.wxi|.wxl|.wxs|.x3d|.xacro|.xaml|.xib|.xlf|.xliff|.xmi|.xml.dist|.xproj|.xsd|.xspec|.xul|.zcml,,IBM,1996
XPages,.xsp-config|.xsp.metadata,,Trilog Group,2008
XProc,.xpl|.xproc,,Erik Siegel,2010
XQuery,.xquery|.xq|.xql|.xqm|.xqy,xquery,World Wide Web Consortium,2007
XS,.xs,,Larry Wall,1950s
XSLT,.xslt|.xsl,,W3C,1998
Xojo,.xojo_code|.xojo_menu|.xojo_report|.xojo_script|.xojo_toolbar|.xojo_window,xojo,Xojo| Inc,1998
Xtend,.xtend,,typefox,2011
YAML,.yml|.mir|.reek|.rviz|.sublime-syntax|.syntax|.yaml|.yaml-tmlanguage|.yaml.sed|.yml.mysql,yaml,Clark Evans,2001
YANG,.yang,yang,IETF NETCONF Data Modeling Language Working Group,2008
YARA,.yar|.yara,,Victor Alvarez,2008
YASnippet,.yasnippet,markup,,2008
Yacc,.y|.yacc|.yy,,Stephen C. Johnson,1975
ZAP,.zap|.xzap,,Simon Bennetts,2020
ZIL,.zil|.mud,,Infocom,1980
Zeek,.zeek|.bro,,Vern Paxson,2020
ZenScript,.zs,, Andi Gutmans|Zeev Suraski ,1980s
Zephir,.zep,,,2013
Zig,.zig,zig,Andrew Kelley.,2015
Zimpl,.zimpl|.zmpl|.zpl,,,2004
desktop,.desktop|.desktop.in,,,1956
dircolors,.dircolors,,,1972
eC,.ec|.eh,,Jérôme Jacovella,2004
edn,.edn,,,2012
fish,.fish,,Harpyon,2009
mIRC Script,.mrc,,Khaled Mardam-Bey,1995
mcfunction,.mcfunction,,,1950s
mupad,.mu,,The Mathworks Inc.,1997
nanorc,.nanorc,,Chris Allegretta,1999
nesC,.nc,,,2000
ooc,.ooc,,,2009
Q,.q,q,Arthur Whitney,2003
sed,.sed,,,1974
wdl,.wdl,,the Broad Institute,2012
wisp,.wisp,,,2012
xBase,.prg|.ch|.prw,,Antonio Linares,1989
